year,week,Borough,Housing,Other jurisdiction,Patrol,Transit,18-24,25-44,45-64,65+,<18,Unknown,Female,Male,American indian/alaskan native,Asian / pacific islander,Black,Black hispanic,Other,Unknown.1,White,White hispanic,Domestic,Drug_&_Violence,Noise,Traffic_related,Number_of_persons_injured,Number_of_persons_killed,Backing unsafely,Driver inattention/distraction,Driver inexperience,Failure to yield right-of-way,Fatigued/drowsy,Following too closely,Lost consciousness,Other vehicular,Passing or lane usage improper,Passing too closely,Prescription medication,Traffic control disregarded,Turning improperly,Unsafe lane changing,Unspecified
2012,1,Bronx,123,30,1822,163,625,879,372,11,251,0,323,1815,1,14,943,298,0,16,101,765,10,0,775,233,7.0,0.0,1,8,1,3,1,0,1,0,0,0,2,0,1,0,21
2012,26,Bronx,107,22,1176,101,412,601,252,13,128,0,285,1121,1,5,637,197,0,21,54,491,40,0,696,242,7.0,0.0,1,7,0,3,0,0,0,0,0,0,0,0,1,0,17
2012,27,Bronx,96,16,1291,121,478,659,261,16,110,0,248,1276,0,12,678,204,0,14,60,556,63,0,824,239,82.0,0.0,11,39,9,15,8,1,6,5,0,0,8,5,3,0,202
2012,28,Bronx,74,38,1484,147,503,794,306,10,130,0,287,1456,1,16,782,254,0,26,72,592,60,0,716,250,79.0,1.0,13,29,5,10,9,0,5,3,0,0,4,2,10,0,184
2012,29,Bronx,103,37,1341,146,510,690,282,14,131,0,299,1328,2,12,772,239,0,15,49,538,36,0,733,278,87.0,1.0,9,36,6,17,12,1,4,4,0,0,6,2,4,0,171
2012,30,Bronx,112,33,1314,107,463,682,285,7,129,0,330,1236,0,10,708,223,0,18,65,542,34,0,715,242,59.0,0.0,4,35,7,16,10,0,8,8,1,0,9,3,5,0,187
2012,31,Bronx,108,30,1470,164,509,769,325,9,160,0,314,1458,4,18,847,216,0,9,92,586,40,0,788,242,73.0,0.0,6,33,3,9,9,0,5,12,1,0,5,3,3,0,217
2012,32,Bronx,65,45,1580,135,513,798,352,15,147,0,337,1488,0,18,811,263,0,25,72,636,35,0,773,218,76.0,1.0,7,34,5,6,10,0,5,10,0,0,7,2,8,0,219
2012,33,Bronx,100,33,1422,116,475,736,281,13,166,0,329,1342,1,16,793,236,0,24,72,529,41,0,897,200,68.0,0.0,6,39,2,12,14,0,2,7,0,0,6,4,2,0,174
2012,34,Bronx,80,30,1557,152,547,757,312,12,191,0,319,1500,2,11,808,281,0,31,70,616,48,0,981,196,80.0,1.0,5,32,7,13,15,0,4,4,1,0,5,2,6,0,177
