Felony,Misdemeanor,Violation,year_week_borough
446,1651,41,2012_1_Bronx
293,1072,41,2012_26_Bronx
382,1105,37,2012_27_Bronx
453,1236,54,2012_28_Bronx
366,1204,57,2012_29_Bronx
374,1146,46,2012_30_Bronx
419,1303,50,2012_31_Bronx
459,1311,55,2012_32_Bronx
374,1259,38,2012_33_Bronx
438,1341,40,2012_34_Bronx
419,1113,28,2012_35_Bronx
366,1203,40,2012_36_Bronx
436,1363,37,2012_37_Bronx
388,1420,40,2012_38_Bronx
349,1122,45,2012_39_Bronx
468,1294,37,2012_40_Bronx
385,1421,41,2012_41_Bronx
395,1339,38,2012_42_Bronx
443,1186,28,2012_43_Bronx
216,570,7,2012_44_Bronx
289,968,28,2012_45_Bronx
324,1151,40,2012_46_Bronx
306,908,24,2012_47_Bronx
358,1206,23,2012_48_Bronx
410,1323,53,2012_49_Bronx
426,1248,27,2012_50_Bronx
346,1123,21,2012_51_Bronx
237,877,17,2012_52_Bronx
396,1233,31,2013_1_Bronx
470,1296,63,2013_2_Bronx
433,1169,35,2013_3_Bronx
413,1114,27,2013_4_Bronx
393,1181,31,2013_5_Bronx
351,1176,47,2013_6_Bronx
408,1321,36,2013_7_Bronx
431,1334,34,2013_8_Bronx
376,1396,52,2013_9_Bronx
373,1281,34,2013_10_Bronx
421,1233,36,2013_11_Bronx
401,1316,38,2013_12_Bronx
306,1121,22,2013_13_Bronx
379,1241,41,2013_14_Bronx
445,1412,34,2013_15_Bronx
386,1328,25,2013_16_Bronx
386,1298,32,2013_17_Bronx
418,1236,31,2013_18_Bronx
398,1302,23,2013_19_Bronx
401,1323,28,2013_20_Bronx
420,1157,26,2013_21_Bronx
318,1187,33,2013_22_Bronx
425,1270,41,2013_23_Bronx
383,1259,35,2013_24_Bronx
427,1238,41,2013_25_Bronx
391,1098,36,2013_26_Bronx
360,1141,50,2013_27_Bronx
397,1268,32,2013_28_Bronx
417,1213,31,2013_29_Bronx
414,1233,38,2013_30_Bronx
394,1234,51,2013_31_Bronx
409,1231,37,2013_32_Bronx
398,1281,32,2013_33_Bronx
353,1251,32,2013_34_Bronx
405,1070,30,2013_35_Bronx
364,1296,43,2013_36_Bronx
339,1160,31,2013_37_Bronx
387,1255,42,2013_38_Bronx
356,1279,39,2013_39_Bronx
446,1316,37,2013_40_Bronx
455,1300,34,2013_41_Bronx
394,1158,33,2013_42_Bronx
422,1209,37,2013_43_Bronx
386,1049,25,2013_44_Bronx
408,1298,44,2013_45_Bronx
455,1241,32,2013_46_Bronx
414,1220,39,2013_47_Bronx
266,973,29,2013_48_Bronx
420,1216,20,2013_49_Bronx
384,999,28,2013_50_Bronx
303,1019,31,2013_51_Bronx
251,933,21,2013_52_Bronx
332,911,32,2014_1_Bronx
398,1217,61,2014_2_Bronx
